logged_at,esp_millis,latency_ms,jitter_ms,loss_percent,throughput_mbps,rssi_dbm
2026-08-07T14:08:43,1997553,3.65,2.08,0.0,3.52,-30
2026-08-07T14:09:01,2015044,2.93,1.47,0.0,3.37,-31
2026-08-07T14:09:17,2031652,3.07,1.71,0.0,3.65,-30
2026-08-07T14:09:34,2048283,3.06,1.34,0.0,3.66,-29
2026-08-07T14:09:51,2065412,2.7,0.83,0.0,3.5,-31
2026-08-07T14:10:08,2082305,2.56,0.57,0.0,3.56,-29
2026-08-07T14:10:25,2099164,3.14,1.3,0.0,3.57,-26
2026-08-07T14:10:41,2115729,3.07,1.11,0.0,3.68,-26
2026-08-07T14:10:58,2131996,2.76,1.31,0.0,3.76,-30
2026-08-07T14:11:15,2149390,2.73,0.35,0.0,3.4,-21
2026-08-07T14:11:33,2167242,3.11,1.1,0.0,3.28,-27
2026-08-07T14:11:50,2184848,3.06,1.23,0.0,3.36,-29
2026-08-07T14:12:10,2204282,4.38,3.92,0.0,2.92,-31
2026-08-07T14:12:29,2223174,2.89,1.04,0.0,3.02,-30
2026-08-07T14:12:48,2242502,2.82,0.81,0.0,2.93,-30
2026-08-07T14:13:07,2261556,2.91,1.37,0.0,2.98,-30
2026-08-07T14:13:26,2280309,2.78,0.98,0.0,3.07,-31
2026-08-07T14:13:46,2300112,2.19,0.66,0.0,2.84,-31
2026-08-07T14:14:06,2320010,2.97,2.13,0.0,2.81,-31
2026-08-07T14:14:24,2338617,3.69,2.13,0.0,3.11,-31
2026-08-07T14:14:42,2356744,2.87,1.33,0.0,3.21,-31
2026-08-07T14:15:01,2375063,4.61,1.7,0.0,3.16,-30
2026-08-07T14:15:18,2392931,3.03,1.47,0.0,3.28,-30
2026-08-07T14:15:37,2411390,2.64,1.51,0.0,3.14,-31
2026-08-07T14:15:56,2430778,3.03,1.61,0.0,2.92,-33
2026-08-07T14:16:15,2449372,2.27,0.59,0.0,3.09,-29
2026-08-07T14:16:33,2467468,3.35,1.71,0.0,3.22,-31
2026-08-07T14:16:52,2486095,2.42,0.41,0.0,3.1,-27
2026-08-07T14:17:10,2504839,3.42,1.49,0.0,3.08,-30
2026-08-07T14:17:29,2523171,2.59,0.7,0.0,3.16,-30
2026-08-07T14:17:48,2542298,2.53,0.51,0.0,2.96,-31
2026-08-07T14:18:06,2560704,2.96,1.38,0.0,3.14,-31
2026-08-07T14:18:25,2579653,2.83,0.67,0.0,3.02,-30
2026-08-07T14:18:44,2598999,2.65,0.62,0.0,2.93,-30
2026-08-07T14:19:03,2617439,2.72,0.76,0.0,3.12,-29
2026-08-07T14:19:21,2635484,2.59,0.6,0.0,3.24,-31
2026-08-07T14:19:39,2653397,2.99,1.46,0.0,3.29,-30
2026-08-07T14:19:57,2671280,2.69,0.58,0.0,3.27,-32
2026-08-07T14:20:14,2688656,2.86,1.34,0.0,3.43,-30
2026-08-07T14:20:33,2707805,3.22,1.63,0.0,2.96,-30
2026-08-07T14:20:52,2726089,3.03,1.65,0.0,3.19,-29
2026-08-07T14:21:09,2743536,2.68,0.49,0.0,3.4,-26
2026-08-07T14:21:28,2762282,3.34,2.41,0.0,3.05,-29
2026-08-07T14:21:47,2781035,10.16,9.1,0.0,3.06,-31
2026-08-07T14:22:07,2801730,9.42,15.28,0.0,2.67,-30
2026-08-07T14:22:27,2821291,3.21,1.34,0.0,2.89,-31
2026-08-07T14:22:46,2840550,3.74,0.78,0.0,2.95,-29
2026-08-07T14:23:05,2859173,3.11,1.52,0.0,3.08,-29
2026-08-07T14:23:28,2882105,2.59,0.99,0.0,2.32,-30
2026-08-07T14:23:47,2901691,3.2,1.26,0.0,2.89,-30
2026-08-07T14:24:19,2933393,3.29,1.48,0.0,1.54,-30
2026-08-07T14:24:52,2966865,37.05,28.06,0.0,1.46,-29
2026-08-07T14:25:11,2985393,2.56,0.42,0.0,3.11,-32
2026-08-07T14:25:29,3003605,2.3,0.45,0.0,3.19,-31
2026-08-07T14:25:49,3023422,2.93,1.31,0.0,2.82,-29
2026-08-07T14:26:08,3042683,5.52,3.56,0.0,2.95,-30
2026-08-07T14:26:26,3060896,3.41,1.71,0.0,3.2,-31
2026-08-07T14:26:45,3079411,3.59,1.75,0.0,3.1,-30
2026-08-07T14:27:04,3098586,2.47,0.55,0.0,2.96,-30
2026-08-07T14:27:23,3117454,2.97,1.28,0.0,3.02,-31
2026-08-07T14:27:42,3136924,5.0,5.27,0.0,2.9,-30
2026-08-07T14:28:01,3155098,3.87,3.33,0.0,3.2,-28
2026-08-07T14:28:18,3173006,2.44,0.47,0.0,3.26,-22
2026-08-07T14:28:38,3192750,3.93,2.09,0.0,2.86,-30
2026-08-07T14:28:57,3211299,3.18,1.26,0.0,3.1,-31
2026-08-07T14:29:16,3230239,2.91,0.79,0.0,3.0,-30
2026-08-07T14:29:36,3250164,2.94,1.36,0.0,2.8,-29
2026-08-07T14:29:55,3269520,2.56,0.82,0.0,2.93,-31
2026-08-07T14:30:15,3289058,2.9,1.24,0.0,2.89,-31
2026-08-07T14:30:33,3307375,3.73,2.36,0.0,3.18,-30
2026-08-07T14:30:51,3325693,2.59,0.53,0.0,3.17,-29
2026-08-07T14:31:09,3343652,3.24,0.86,0.0,3.25,-28
2026-08-07T14:31:28,3362149,2.95,1.53,0.0,3.13,-29
2026-08-07T14:31:47,3381250,2.84,1.06,0.0,2.97,-29
2026-08-07T14:32:05,3399489,2.93,1.06,0.0,3.19,-30
2026-08-07T14:32:23,3417728,5.56,4.97,0.0,3.18,-30
2026-08-07T14:32:42,3436447,3.08,1.87,0.0,3.06,-31
2026-08-07T14:33:01,3455224,2.74,0.71,0.0,3.06,-30
2026-08-07T14:33:19,3473980,3.21,1.74,0.0,3.05,-31
2026-08-07T14:33:38,3492385,2.76,0.88,0.0,3.16,-30
2026-08-07T14:33:56,3510430,3.17,1.55,0.0,3.23,-29
2026-08-07T14:34:14,3528478,3.32,1.69,0.0,3.23,-29
2026-08-07T14:34:32,3546646,3.23,1.52,0.0,3.19,-30
2026-08-07T14:34:51,3565943,2.89,0.75,0.0,2.94,-28
2026-08-07T14:35:09,3583592,5.35,5.43,0.0,3.36,-29
2026-08-07T14:35:27,3601625,3.2,1.99,0.0,3.22,-31
2026-08-07T14:35:45,3619640,2.79,0.81,0.0,3.24,-29
2026-08-07T14:36:03,3637304,2.77,0.92,0.0,3.34,-30
2026-08-07T14:36:21,3655890,3.51,2.69,0.0,3.12,-30
2026-08-07T14:36:40,3674825,4.92,4.16,0.0,3.04,-29
2026-08-07T14:36:58,3692877,3.35,1.15,0.0,3.22,-30
2026-08-07T14:37:17,3711522,3.19,1.2,0.0,3.08,-33
2026-08-07T14:37:37,3731495,3.06,1.22,0.0,2.8,-30
2026-08-07T14:37:56,3750670,3.61,2.22,0.0,2.95,-29
2026-08-07T14:38:15,3769553,3.16,1.3,0.0,3.02,-29
2026-08-07T14:38:33,3787931,3.52,1.63,0.0,3.16,-31
2026-08-07T14:38:53,3807414,2.28,0.39,0.0,2.89,-29
2026-08-07T14:39:11,3826014,3.64,2.44,0.0,3.13,-29
2026-08-07T14:39:31,3845678,2.57,0.59,0.0,2.85,-30
2026-08-07T14:39:50,3864436,3.25,1.45,0.0,3.08,-29
2026-08-07T14:40:09,3883753,3.12,1.49,0.0,2.95,-31
2026-08-07T14:40:29,3903186,3.52,1.83,0.0,2.91,-30
2026-08-07T14:40:49,3923643,4.06,1.97,0.0,2.71,-31
2026-08-07T14:41:08,3942743,2.5,0.9,0.0,2.97,-30
2026-08-07T14:41:27,3961964,2.83,0.58,0.0,2.95,-31
2026-08-07T14:41:46,3980910,2.97,1.12,0.0,3.02,-26
2026-08-07T14:42:04,3998963,2.49,0.63,0.0,3.22,-31
2026-08-07T14:42:23,4017623,2.78,0.63,0.0,3.08,-27
2026-08-07T14:42:42,4037018,2.94,1.67,0.0,2.91,-31
2026-08-07T14:43:01,4056020,2.88,0.49,0.0,3.01,-30
2026-08-07T14:43:20,4074764,2.6,0.51,0.0,3.06,-30
2026-08-07T14:43:39,4093966,3.24,0.98,0.0,2.95,-29
2026-08-07T14:43:58,4112923,2.28,0.41,0.0,3.02,-31
2026-08-07T14:44:18,4132880,2.41,0.27,0.0,2.79,-29
2026-08-07T14:44:38,4152626,3.08,1.35,0.0,2.83,-29
2026-08-07T14:44:58,4172201,3.99,1.74,0.0,2.88,-30
2026-08-07T14:45:17,4191121,3.12,1.49,0.0,3.03,-29
2026-08-07T14:45:35,4209695,2.36,0.2,0.0,3.11,-30
2026-08-07T14:45:54,4228476,2.33,0.25,0.0,3.05,-32
2026-08-07T14:46:13,4247188,2.23,0.37,0.0,3.06,-31
2026-08-07T14:46:31,4265676,2.54,0.5,0.0,3.12,-29
2026-08-07T14:46:50,4284679,2.42,0.77,0.0,3.02,-30
2026-08-07T14:47:08,4302861,3.26,1.39,0.0,3.19,-30
2026-08-07T14:47:27,4321815,2.81,0.9,0.0,3.02,-32
2026-08-07T14:47:46,4340525,2.77,1.16,0.0,3.07,-31
2026-08-07T14:48:04,4358511,2.4,0.24,0.0,3.24,-31
2026-08-07T14:48:22,4376864,3.12,1.39,0.0,3.15,-29
2026-08-07T14:48:40,4394644,2.56,0.55,0.0,3.29,-30
2026-08-07T14:48:59,4413194,4.0,3.2,0.0,3.11,-30
2026-08-07T14:49:17,4431985,3.2,1.76,0.0,3.05,-31
2026-08-07T14:49:36,4450390,2.56,0.48,0.0,3.15,-29
2026-08-07T14:49:54,4468760,3.63,2.16,0.0,3.14,-28
2026-08-07T14:50:13,4487751,2.97,1.59,0.0,3.01,-30
2026-08-07T14:50:31,4505744,2.93,1.39,0.0,3.24,-26
2026-08-07T14:50:49,4523177,2.37,0.25,0.0,3.4,-32
2026-08-07T14:51:07,4541390,2.41,0.56,0.0,3.19,-30
2026-08-07T14:51:25,4559459,2.78,1.06,0.0,3.23,-32
2026-08-07T14:51:43,4577862,2.34,0.24,0.0,3.13,-29
2026-08-07T14:52:03,4597330,2.53,0.41,0.0,2.9,-29
2026-08-07T14:52:21,4615731,3.71,1.88,0.0,3.19,-30
2026-08-07T14:52:39,4633950,3.83,3.06,0.0,3.19,-26
2026-08-07T14:52:58,4652418,2.62,0.58,0.0,3.11,-29
2026-08-07T14:53:16,4670922,2.72,1.09,0.0,3.11,-31
2026-08-07T14:53:35,4689096,2.31,0.18,0.0,3.2,-30
2026-08-07T14:53:54,4708973,4.67,2.9,0.0,2.81,-30
2026-08-07T14:54:13,4727210,9.0,14.27,0.0,3.2,-29
2026-08-07T14:54:32,4746404,3.48,0.77,0.0,2.97,-31
2026-08-07T14:54:52,4766681,4.84,5.06,0.0,2.74,-30
2026-08-07T14:55:12,4786579,2.93,1.37,0.0,2.81,-30
2026-08-07T14:55:32,4806467,5.97,6.02,0.0,2.82,-30
2026-08-07T14:55:51,4825376,2.96,1.54,0.0,3.03,-30
2026-08-07T14:56:09,4843219,11.22,15.6,0.0,3.31,-30
2026-08-07T14:56:26,4860354,2.72,0.83,0.0,3.51,-28
2026-08-07T14:56:44,4878401,3.07,1.82,0.0,3.24,-29
2026-08-07T14:57:02,4896994,3.82,2.77,0.0,3.1,-30
2026-08-07T14:57:20,4914530,2.91,1.57,0.0,3.38,-31
2026-08-07T14:57:37,4931874,4.28,2.32,0.0,3.43,-28
2026-08-07T14:57:56,4950486,2.73,1.72,0.0,3.09,-28
2026-08-07T14:58:15,4969080,2.83,0.89,0.0,3.08,-28
2026-08-07T14:58:33,4987615,20.2,35.81,0.0,3.15,-29
2026-08-07T14:58:51,5005788,8.92,7.2,0.0,3.2,-29
2026-08-07T14:59:09,5023202,2.85,0.89,0.0,3.41,-29
2026-08-07T14:59:26,5040654,2.73,1.09,0.0,3.39,-28
2026-08-07T14:59:44,5059053,3.04,1.39,0.0,3.13,-29
2026-08-07T15:00:02,5076690,4.36,2.77,0.0,3.37,-28
2026-08-07T15:00:20,5094471,3.13,1.86,0.0,3.32,-31
2026-08-07T15:00:37,5111721,3.32,2.4,0.0,3.45,-29
2026-08-07T15:00:55,5129627,2.85,2.17,0.0,3.28,-28
2026-08-07T15:01:13,5147413,2.65,0.83,0.0,3.29,-29
2026-08-07T15:01:31,5165182,3.99,2.1,0.0,3.31,-28
2026-08-07T15:01:49,5183603,2.79,0.72,0.0,3.15,-30
2026-08-07T15:02:07,5201880,3.58,2.55,0.0,3.16,-30
2026-08-07T15:02:25,5219568,2.5,0.58,0.0,3.33,-29
2026-08-07T15:02:44,5238998,4.05,2.68,0.0,2.91,-31
2026-08-07T15:03:03,5257623,2.79,1.12,0.0,3.1,-31
2026-08-07T15:03:21,5275744,2.99,1.39,0.0,3.21,-31
2026-08-07T15:03:39,5293226,2.82,1.19,0.0,3.38,-30
2026-08-07T15:03:56,5310625,2.83,0.79,0.0,3.4,-30
2026-08-07T15:04:14,5328958,2.73,0.79,0.0,3.16,-31
2026-08-07T15:04:32,5347046,3.92,2.74,0.0,3.21,-29
2026-08-07T15:04:51,5365728,2.81,1.23,0.0,3.09,-29
2026-08-07T15:05:10,5384387,2.92,0.99,0.0,3.07,-30
2026-08-07T15:05:28,5402124,2.91,0.82,0.0,3.31,-29
2026-08-07T15:05:46,5420817,2.63,0.61,0.0,3.09,-31
2026-08-07T15:06:04,5438783,2.34,0.24,0.0,3.26,-29
2026-08-07T15:06:23,5457593,2.7,0.88,0.0,3.06,-31
2026-08-07T15:06:41,5475472,4.63,3.22,0.0,3.28,-30
2026-08-07T15:06:59,5493768,8.75,12.31,0.0,3.18,-31
2026-08-07T15:07:18,5512327,2.57,1.32,0.0,3.1,-30
2026-08-07T15:07:36,5530634,3.46,1.54,0.0,3.16,-31
2026-08-07T15:07:54,5548913,2.9,0.9,0.0,3.16,-29
2026-08-07T15:08:12,5566419,3.08,1.14,0.0,3.38,-30
2026-08-07T15:08:30,5584365,3.03,0.67,0.0,3.26,-31
2026-08-07T15:08:47,5602000,3.42,1.56,0.0,3.33,-31
2026-08-07T15:09:07,5621182,3.04,1.36,0.0,2.95,-29
2026-08-07T15:09:25,5639815,2.47,0.39,0.0,3.1,-31
2026-08-07T15:09:43,5657411,2.49,1.42,0.0,3.34,-31
2026-08-07T15:10:01,5675352,2.57,0.67,0.0,3.28,-29
2026-08-07T15:13:13,175308,3.68,1.43,0.0,3.63,-23
2026-08-07T15:13:34,195619,10.71,18.74,0.0,2.74,-22
2026-08-07T15:13:51,212908,3.56,1.69,0.0,3.45,-20
2026-08-07T15:14:12,234307,3.37,1.69,0.0,2.55,-29
2026-08-07T15:14:34,256508,2.49,0.72,0.0,2.42,-36
2026-08-07T15:14:55,276563,2.95,0.84,0.0,2.77,-38
2026-08-07T15:15:12,293730,2.52,0.34,0.0,3.47,-37
2026-08-07T15:15:29,311120,3.74,2.35,0.0,3.4,-39
2026-08-07T15:15:48,330284,2.62,0.85,0.0,2.95,-26
2026-08-07T15:16:09,351049,3.25,1.3,0.0,2.64,-20
2026-08-07T15:16:31,373181,3.43,1.68,0.0,2.43,-22
2026-08-07T15:16:52,394224,3.19,1.41,0.0,2.6,-25
2026-08-07T15:17:12,413947,3.31,1.98,0.0,2.84,-30
2026-08-07T15:17:32,433696,3.12,0.94,0.0,2.84,-22
2026-08-07T15:17:54,456154,10.86,11.51,0.0,2.39,-23
2026-08-07T15:18:19,480745,2.56,0.95,0.0,2.12,-25
2026-08-07T15:18:41,502900,2.72,1.23,0.0,2.42,-23
2026-08-07T15:18:59,521014,2.81,1.42,0.0,3.2,-21
2026-08-07T15:19:16,537750,2.44,0.3,0.0,3.6,-23
2026-08-07T15:19:32,554233,2.3,0.27,0.0,3.71,-20
2026-08-07T15:19:49,571104,2.53,0.59,0.0,3.56,-23
2026-08-07T15:20:07,588731,2.32,0.96,0.0,3.34,-20
2026-08-07T15:20:24,605646,2.86,0.88,0.0,3.54,-21
2026-08-07T15:20:41,623360,4.34,1.59,0.0,3.31,-21
2026-08-07T15:21:00,642331,2.29,0.21,0.0,3.01,-24
2026-08-07T15:21:19,661133,3.11,1.05,0.0,3.04,-22
2026-08-07T15:21:37,679021,3.09,1.92,0.0,3.26,-23
2026-08-07T15:21:55,696866,2.92,1.1,0.0,3.28,-21
2026-08-07T15:22:16,718130,2.99,1.46,0.0,2.57,-23
2026-08-07T15:22:35,737500,2.79,0.79,0.0,2.91,-23
2026-08-07T15:22:57,758883,12.39,23.13,0.0,2.57,-31
2026-08-07T15:23:18,780110,2.83,1.24,0.0,2.56,-22
2026-08-07T15:23:42,804244,3.47,2.25,0.0,2.16,-31
2026-08-07T15:24:00,821719,2.68,0.76,0.0,3.38,-38
2026-08-07T15:24:16,838442,2.25,1.17,0.0,3.6,-41
2026-08-07T15:24:33,855056,3.42,1.23,0.0,3.65,-39
2026-08-07T15:24:52,873924,2.39,1.0,0.0,3.02,-35
2026-08-07T15:25:09,890576,2.6,1.02,0.0,3.63,-47
2026-08-07T15:25:27,908727,3.24,1.67,0.0,3.2,-31
2026-08-07T15:25:45,927221,3.88,3.35,0.0,3.13,-35
2026-08-07T15:26:07,949110,2.87,0.85,0.0,2.46,-30
2026-08-07T15:26:31,973014,3.81,2.06,0.0,2.19,-27
2026-08-07T15:26:52,994471,3.45,2.41,0.0,2.53,-23
2026-08-07T15:27:15,1016906,2.87,0.71,0.0,2.39,-23
2026-08-07T15:27:36,1038086,2.97,1.48,0.0,2.58,-18
2026-08-07T15:27:54,1056112,2.92,1.12,0.0,3.24,-40
2026-08-07T15:28:11,1072792,2.82,1.17,0.0,3.63,-37
2026-08-07T15:28:28,1090044,3.06,1.38,0.0,3.44,-20
2026-08-07T15:28:46,1108296,2.93,1.06,0.0,3.17,-27
2026-08-07T15:29:04,1126005,2.77,1.5,0.0,3.31,-42
2026-08-07T15:29:22,1143672,3.54,1.97,0.0,3.32,-34
2026-08-07T15:29:39,1161540,5.23,5.39,0.0,3.28,-40
2026-08-07T15:29:58,1180258,2.61,0.72,0.0,3.08,-27
2026-08-07T15:30:17,1198728,2.86,1.2,0.0,3.12,-24
2026-08-07T15:30:34,1216011,3.14,2.13,0.0,3.44,-32
2026-08-07T15:30:55,1237498,2.76,1.02,0.0,2.53,-32
2026-08-07T15:31:16,1258435,3.07,1.05,0.0,2.62,-31
2026-08-07T15:31:36,1277614,3.76,1.18,0.0,2.97,-30
2026-08-07T15:31:54,1295778,2.3,0.29,0.0,3.2,-35
2026-08-07T15:32:11,1312818,5.23,4.64,0.0,3.52,-36
2026-08-07T15:32:27,1329258,3.28,1.18,0.0,3.72,-35
2026-08-07T15:32:45,1346947,2.97,1.16,0.0,3.32,-40
2026-08-07T15:33:04,1365621,2.85,0.61,0.0,3.07,-26
2026-08-07T15:33:21,1382829,2.51,0.65,0.0,3.49,-22
2026-08-07T15:33:37,1399565,2.91,1.16,0.0,3.64,-21
2026-08-07T15:33:54,1416337,2.75,0.95,0.0,3.61,-23
2026-08-07T15:34:11,1433085,3.74,2.35,0.0,3.62,-20
2026-08-07T15:34:28,1449851,3.15,1.58,0.0,3.6,-23
2026-08-07T15:34:44,1466551,2.73,1.38,0.0,3.62,-21
2026-08-07T15:35:01,1482999,3.42,2.54,0.0,3.71,-20
2026-08-07T15:35:18,1499588,2.97,1.21,0.0,3.65,-23
2026-08-07T15:35:35,1516854,2.76,0.6,0.0,3.46,-22
2026-08-07T15:35:51,1533428,3.08,0.91,0.0,3.66,-21
2026-08-07T15:36:08,1550232,3.65,2.57,0.0,3.59,-22
2026-08-07T15:36:25,1566651,3.4,1.95,0.0,3.72,-22
2026-08-07T15:36:41,1583488,4.07,1.74,0.0,3.6,-24
2026-08-07T15:36:58,1600249,3.22,1.14,0.0,3.61,-24
2026-08-07T15:37:16,1617614,3.07,1.28,0.0,3.43,-24
2026-08-07T15:37:33,1634789,3.11,1.56,0.0,3.47,-21
2026-08-07T15:37:50,1651654,3.6,1.8,0.0,3.58,-22
2026-08-07T15:38:06,1668232,2.93,0.98,0.0,3.68,-21
2026-08-07T15:38:23,1684974,2.87,1.22,0.0,3.6,-21
2026-08-07T15:38:41,1703270,3.05,1.17,0.0,3.18,-21
2026-08-07T15:38:58,1719840,3.74,2.17,0.0,3.68,-22
2026-08-07T15:39:14,1736327,3.27,1.28,0.0,3.68,-22
2026-08-07T15:39:31,1753331,3.23,2.14,0.0,3.55,-21
2026-08-07T15:39:48,1769868,5.19,2.18,0.0,3.7,-23
2026-08-07T15:40:04,1786461,3.41,1.87,0.0,3.65,-22
2026-08-07T15:40:22,1803724,3.07,1.53,0.0,3.45,-23
2026-08-07T15:40:39,1820664,2.94,0.78,0.0,3.56,-21
2026-08-07T15:40:55,1837484,2.86,1.28,0.0,3.57,-22
2026-08-07T15:41:12,1854379,2.94,1.47,0.0,3.56,-23
2026-08-07T15:41:29,1871003,3.43,1.64,0.0,3.64,-22
2026-08-07T15:41:46,1887936,2.89,0.95,0.0,3.54,-22
2026-08-07T15:42:03,1904712,2.77,0.67,0.0,3.6,-23
2026-08-07T15:42:19,1921319,2.48,0.54,0.0,3.66,-23
2026-08-07T15:42:37,1939191,2.93,1.21,0.0,3.27,-22
